applicant_id,state,density,job_id,title_raw,source,employer,policy_adjusted_score,base_fit_score,eligibility_status,n_gaps,primary_gap,match_label,rank
0183f9ae-29a2-4cf9-8f87-0870c622ecba,FL,2,0cf3e86d-7b7b-49b5-b0e7-95f732a9356b,Service Representative - ASCO - Miami,scraper,Schneider Electric,51.16,45.16,near_fit,2,job_family_compatibility,moderate_fit,1
0183f9ae-29a2-4cf9-8f87-0870c622ecba,FL,2,d6ce56c8-37c1-4825-9f1c-6a380cc955c6,Service Representative - ASCO - Tallahassee,scraper,Schneider Electric,51.16,45.16,near_fit,2,job_family_compatibility,moderate_fit,2
0199d2dd-2a09-4083-a6af-1d19500b4901,GA,2,d2b5bb83-b02b-43d9-9075-87bcffd426ba,System Specialist III,scraper,Schneider Electric,15.28,21.28,ineligible,1,job_family_compatibility,low_fit,1
0199d2dd-2a09-4083-a6af-1d19500b4901,GA,2,1bf0ac7a-e529-4e85-9cdb-5bea8e082fd1,Electronic Technician,scraper,Southwire,59.69,53.69,near_fit,2,seniority_compatibility,moderate_fit,2
0199d2dd-2a09-4083-a6af-1d19500b4901,GA,2,34db19d2-d22c-420b-9ca4-3a0b96da2fae,"Technician, Electronic",scraper,Southwire,59.63,53.63,near_fit,2,seniority_compatibility,moderate_fit,3
0199d2dd-2a09-4083-a6af-1d19500b4901,GA,2,f598393a-49cf-4330-97e9-3febf3c6614a,HVAC Installer - 2nd Shift (Apprenticeship Program),employer_created,Acme Industrial,57.06,46.06,near_fit,2,job_family_compatibility,moderate_fit,4
0199d2dd-2a09-4083-a6af-1d19500b4901,GA,2,7be0d8c5-61fb-42e0-85e2-e57eaa3c8c92,Building Automation Technician II,scraper,Schneider Electric,51.70,45.70,near_fit,2,job_family_compatibility,moderate_fit,5
0199d2dd-2a09-4083-a6af-1d19500b4901,GA,2,6c0c32de-720f-468e-9db4-98fcf35d3476,System Specialist II,scraper,Schneider Electric,51.62,45.62,near_fit,2,job_family_compatibility,moderate_fit,6
0199d2dd-2a09-4083-a6af-1d19500b4901,GA,2,092dfb2b-ff27-4d1b-aa53-8719e5b2f01e,System Specialist I,scraper,Schneider Electric,51.59,45.59,near_fit,2,job_family_compatibility,moderate_fit,7
0199d2dd-2a09-4083-a6af-1d19500b4901,GA,2,784960ea-8969-447d-935d-2a0e711996d6,System Specialist II,scraper,Schneider Electric,51.59,45.59,near_fit,2,job_family_compatibility,moderate_fit,8
0199d2dd-2a09-4083-a6af-1d19500b4901,GA,2,9089b0d0-9bcc-4423-9a86-9ec534a5f15a,Building Automation Technician II,scraper,Schneider Electric,51.59,45.59,near_fit,2,job_family_compatibility,moderate_fit,9
0199d2dd-2a09-4083-a6af-1d19500b4901,GA,2,91897402-de57-4dab-9099-843ecbb624b3,System Specialist I,scraper,Schneider Electric,51.59,45.59,near_fit,2,job_family_compatibility,moderate_fit,10
0199d2dd-2a09-4083-a6af-1d19500b4901,GA,2,aa9c7ad9-821b-405c-8099-64057cbf133a,System Specialist II,scraper,Schneider Electric,51.59,45.59,near_fit,2,job_family_compatibility,moderate_fit,11
0199d2dd-2a09-4083-a6af-1d19500b4901,GA,2,bd562210-99d4-4bde-8780-2e54953bf3dd,System Specialist II,scraper,Schneider Electric,51.59,45.59,near_fit,2,job_family_compatibility,moderate_fit,12
0199d2dd-2a09-4083-a6af-1d19500b4901,GA,2,619f163a-21a4-402f-ab9c-510eb8b05894,Field Service Technician - HVAC/Cooling,scraper,Schneider Electric,49.38,43.38,near_fit,2,job_family_compatibility,moderate_fit,13
0199d2dd-2a09-4083-a6af-1d19500b4901,GA,2,84ee4830-5a83-48d2-8872-a5a40e7f329b,Field Service Technician - HVAC/Cooling,scraper,Schneider Electric,49.38,43.38,near_fit,2,job_family_compatibility,moderate_fit,14
0199d2dd-2a09-4083-a6af-1d19500b4901,GA,2,6e0cf920-9cdc-40a1-a692-9191c7cde9f1,Welder,scraper,GE Vernova,52.38,46.38,near_fit,3,job_family_compatibility,moderate_fit,15
03725f8e-7021-4afb-a107-ee392306094f,AR,2,c1557174-f263-4b94-acae-541575223397,Field Service Technician - HVAC/Cooling,scraper,Schneider Electric,51.71,45.71,near_fit,2,job_family_compatibility,moderate_fit,1
03725f8e-7021-4afb-a107-ee392306094f,AR,2,b5eb6630-f8fa-4f4b-8b46-df30db6d53b0,Field Service Representative,scraper,Schneider Electric,51.12,45.12,near_fit,2,job_family_compatibility,moderate_fit,2
04dc7568-2561-4764-9195-4d521179f9b1,AR,1,c1557174-f263-4b94-acae-541575223397,Field Service Technician - HVAC/Cooling,scraper,Schneider Electric,50.59,44.59,near_fit,2,job_family_compatibility,moderate_fit,1
04dc7568-2561-4764-9195-4d521179f9b1,AR,1,b5eb6630-f8fa-4f4b-8b46-df30db6d53b0,Field Service Representative,scraper,Schneider Electric,50.00,44.00,near_fit,2,job_family_compatibility,moderate_fit,2
053b974a-1f89-4af9-8545-2aa1cebe53fb,ID,1,b02f1e6a-a061-457e-bc5d-4660236b7507,"Wind Hub Technician - Idaho 1 (Idaho Falls, ID)",scraper,GE Vernova,50.69,44.69,near_fit,3,job_family_compatibility,moderate_fit,1
05e3d434-8e3b-4bf8-9458-05bc10dc917c,CO,2,bd04aa5e-2928-4847-9744-1547a1ab34f1,Material Handler - Forklift / Warehouse Operator,scraper,Ball Corporation,52.87,46.87,near_fit,2,job_family_compatibility,moderate_fit,1
05e3d434-8e3b-4bf8-9458-05bc10dc917c,CO,2,55ca320c-2898-40a9-9512-907c637508ab,Field Service Representative - Power Distribution/Electrical,scraper,Schneider Electric,51.12,45.12,near_fit,2,job_family_compatibility,moderate_fit,2
05e3d434-8e3b-4bf8-9458-05bc10dc917c,CO,2,a2db9942-94b5-4f01-a5a2-61dee26618be,Production Technician,scraper,Ball Corporation,53.53,47.53,near_fit,3,job_family_compatibility,moderate_fit,3
05e3d434-8e3b-4bf8-9458-05bc10dc917c,CO,2,acc8ba1f-b40a-40d5-bff8-d3513f34e44c,Machinist,scraper,Ball Corporation,52.79,46.79,near_fit,3,job_family_compatibility,moderate_fit,4
06a62bf8-f705-42b5-96a1-d839cfc06b70,IA,2,ad9ace0a-35e9-4b3a-945f-ea189fa9909a,High Voltage Technician III,scraper,GE Vernova,15.69,21.69,ineligible,2,job_family_compatibility,low_fit,1
0917178f-128e-4906-9b56-fd75cba91bb3,ID,1,b02f1e6a-a061-457e-bc5d-4660236b7507,"Wind Hub Technician - Idaho 1 (Idaho Falls, ID)",scraper,GE Vernova,47.10,41.10,near_fit,3,job_family_compatibility,moderate_fit,1
09a1257c-057e-4135-9bfc-d0c6aa473bbb,HI,1,e59950c8-3322-4281-a0b4-a3cdcef0c8af,Material Handler,scraper,Ball Corporation,51.74,45.74,near_fit,2,job_family_compatibility,moderate_fit,1
0b49d2c8-6a10-48ba-85de-5d0ee6ee0440,AK,1,c94f3763-7c07-414c-9f9c-c1b8f9280c7a,"Lead Senior Wind Hub Technician - Fire Island (Anchorage, AK)",scraper,GE Vernova,15.17,21.17,ineligible,2,job_family_compatibility,low_fit,1
